objectid,file name, title,format,descriptive title,creator,work type,year created,subject,dimensions,material,technique,description,edition size,current location,current owner,identifier,file size,file date,file owner,rights
ross001,2020claustrophobic.jpg,Claustropic ,image/jpg,Tapestry of Bent Figure,"Ross, Jenna",tapestry ,2020,"figurative art, textile craft, ","14"" x 5"" ",wool on cotton warp,rigid heddle loom,,,"Springfield, MA","Ross, Jenna",2020claustrophobic,"1,784,852 bytes",4/12/2025,"Ross, Jenna",copyright J.Ross2020
ross002,2021bird.jpg,The Bird,image/jpg,Tapestry of Kneeling Figure,"Ross, Jenna",tapestry ,2021,"figurative art, textile craft, ","12"" x 14"" ",wool and cotton on cotton warp,treadle loom,,,"Springfield, MA","Ross, Jenna",2021bird,"1,255,247 bytes",10/16/2022,"Ross, Jenna",copyright J.Ross2021
ross003,2021shepherd.jpg,Shepherd,image/jpg,Kneeling Figure in Paper Mache,"Ross, Jenna",sculpture,2021,"figurative art, papier-mache sculpture","6"" x 6""","paper, pva",paper-mache,,,"Springfield, MA","Ross, Jenna",2021shepherd,"335,214 bytes",10/16/2022,"Ross, Jenna",copyright J.Ross2021
ross004,2021valley.jpg,Valley,image/jpg,Figure with Raised Arms,"Ross, Jenna",sculpture,2021,"figurative art, papier-mache sculpture","8"" x 6""","paper, pva",paper-mache,,,"Springfield, MA","Ross, Jenna",2021valley,"2,790,007 bytes",9/22/2022,"Ross, Jenna",copyright J.Ross2021
ross005,2021earth.jpg,Earth,image/jpg,Felted Rested Figure,"Ross, Jenna",sculpture,2021,"figurative art, textile craft, ","60"" x 35""","hand dyed felt, upholstery foundation",felt work,"Earth is a near life sized soft sculpture that can be displayed either upright on a wall or on the ground, these two positions give the work a slighly varied difference in perspective when one approaches it on the ground versus on a pedestal. The artist enjoys exploring the varying ways that pieces can be interpreted, none of which can be said are right or wrong. Composed of upholstery foam which is then wrapped in wool and then felted with hand dyed wool to achieve the desired colors. ",,"Springfield, MA","Ross, Jenna",2021earth,167293 bytes,4/12/2025,"Ross, Jenna",copyright J.Ross2021
ross006,2021reachme.jpg,They Will Never Reach Me,image/jpg,Figurative Rug 1,"Ross, Jenna",rug,2021,"figurative art, textile craft, ","12"" x 24""",wool on cotton base cloth,hooking,"They Will Never Reach Me is a hand punched rug meant to be displayed on a wall. The piece aimed to explore the fusion between line and form, with some of the human figure being ignored and instead melting into the horizontal background. ",,"Springfield, MA","Ross, Jenna",2021reachme,"3,460,819 bytes",4/28/2023,"Ross, Jenna",copyright J.Ross2021
ross007,2021phases.jpg,Phases,image/jpg,Series of Hand Rugs,"Ross, Jenna",rug,2021,"extremities (anatomy), textile craft","14"" x 4"" each",wool on cotton base cloth,hooking,,,"Springfield, MA","Ross, Jenna",2021phases,"209,882 bytes",4/12/2025,"Ross, Jenna",copyright J.Ross2021
ross008,2022bananastill.jpg,Tin Foil Banana,image/jpg,Banana and Tin Foil Still Life,"Ross, Jenna",painting,2022,still life painting,"9"" x 12""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",2022bananastill,"3,152,578 bytes",4/12/2025,"Ross, Jenna",copyright J.Ross2022
ross009,2022garlicstill.jpg,Garlic,image/jpg,Garlic and Tissue Still Life,"Ross, Jenna",painting,2022,still life painting,"9"" x 12""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",2022garlicstill,"4,531,956 bytes",4/12/2025,"Ross, Jenna",copyright J.Ross2022
ross010,2022lampstill.jpg,Banker's Lamp,image/jpg,Lamp and Vase Still Life,"Ross, Jenna",painting,2022,still life painting,"9"" x 12""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",2022lampstill,"2,105,963 bytes",4/12/2025,"Ross, Jenna",copyright J.Ross2022
ross011,2022satfigurestill.jpg,Sitting Figure,image/jpg,Sitting Figure Still Life,"Ross, Jenna",painting,2022,figure painting,"12"" x 16""",oil on canvas,painting,,,"Springfield, MA","Ross, Jenna",2022satfigurestill,"2,770,752 bytes",4/12/2025,"Ross, Jenna",copyright J.Ross2022
ross012,2022dyingstar.jpg,Housing a Dying Star,image/jpg,Figurative Rug 2,"Ross, Jenna",rug,2022,"figurative art, textile craft","36"" x 15""",wool on cotton base cloth,hooking,"Housing a Dying Star is a hand punched rug meant to be displayed on the wall. It features a long train of yarn trailing from the bottom and touches the floor when displayed, forming a small pool. The artist was exploring themes of heaviness, and experiencing simultaneous yet juxtaposed feelings of emptiness but also fervent. ",,"Springfield, MA","Ross, Jenna",2022dyingstar,"2,452,592 bytes",10/16/2022,"Ross, Jenna",copyright J.Ross2022
ross013,2022frostbite.jpg,Addicted to Frostbite,image/jpg,Figurative Rug 3,"Ross, Jenna",rug,2022,"figurative art, textile craft","24"" x 18""",wool on cotton base cloth,hooking,"Addicted to Frostbite is a hand punched rug meant to be displayed on a wall. It features a human form blended with its surrounding environment, with small bits escaping the frame. Prominent blue color spreads among the dull colors. The artist was inspired to create this piece after going on a walk in the cold. On this walk the artist sat on a bench and with red hands wrote ""I am so cold"" before doing a quick sketch of nearby sculpture and going home. This led to this.  ",,"Springfield, MA","Ross, Jenna",2022frostbite,"491,074 bytes",10/16/2022,"Ross, Jenna",copyright J.Ross2022
ross014,2022onionskins.jpg,Onion Skins,image/jpg,Figurative Rug 4,"Ross, Jenna",rug,2022,"figurative art, textile craft","12"" x 18""",wool on cotton base cloth,hooking,"Onion Skins is a hand punched rug meant to be displayed on the wall. The artist wanted to further push a idea from an earlier piece, of losing a human form. The artist decided to combine the earlier idea of blending the figure with the background but add a third element of a secondary form also layered and blended. To which she chose a picture of vegetable waste from cutting onions and carrots that she found particularly appealing. The artist enjoys this piece because she sees the picture clearly but discovers that others do not. The artist continues to explores this idea of form, line, and shape because she enjoys unique interpretation. ",,"Springfield, MA","Ross, Jenna",2022onionskins,"2,830,909 bytes",4/28/2023,"Ross, Jenna",copyright J.Ross2022
ross015,2022euphrates.jpg,Euphrates ,image/jpg,,"Ross, Jenna",sculpture,2022,"figurative art, textile craft","40"" x 15""","linen, wool, modeling clay, feathers",sculpture,,,"Springfield, MA","Ross, Jenna",2022euphrates,"2,213,383 bytes",5/13/2023,"Ross, Jenna",copyright J.Ross2022
